날짜,식당,메뉴,가격,구매여부,먹지않은이유
2018-07-31,태양불족발,숯불제육,6000,TRUE,
2018-08-01,태양생고기,징기스칸,6000,TRUE,
2018-08-02,,,,,생일파티
2018-08-03,잔쯔,볶음짬뽕,7000,TRUE,
2018-08-04,,,,,
2018-08-05,,,,,
2018-08-06,태양생고기,돼지불백,6000,FALSE,
2018-08-07,할매순대,순대해장라면,6000,TRUE,
2018-08-08,왕가네칼국수,바지락칼국수,6000,TRUE,
2018-08-09,도마다리,뼈해장국,8000,TRUE,
2018-08-10,빅마켓,베이크+양송이스프+핫도그,8500,TRUE,
2018-08-11,,,,,
2018-08-12,,,,,
2018-08-13,순흥골,물냉면,6000,TRUE,
2018-08-14,,,,,휴가
2018-08-15,,,,,광복절
2018-08-16,도마다리,뼈해장국,8000,TRUE,
2018-08-17,왕가네칼국수,바지락칼국수,6000,FALSE,
2018-08-18,,,,,
2018-08-19,,,,,
2018-08-20,순흥골,육개장,6000,TRUE,
2018-08-21,오마니국수,닭국수,5000,TRUE,
2018-08-22,할매순대국,순대해장라면,6000,TRUE,
2018-08-23,육부장,불고기,6000,TRUE,
2018-08-24,해오름,물막국수,6500,TRUE,
2018-08-25,,,,,
2018-08-26,,,,,
2018-08-27,할매순대,순대해장라면,6000,TRUE,
2018-08-28,해오름,부대찌개,6000,TRUE,
2018-08-29,태양생고기,징기스칸,6000,TRUE,
2018-08-30,,,,,휴가
2018-08-31,버거킹,뉴올리언스치킨버거세트,8300,TRUE,
2018-09-01,,,,,
2018-09-02,,,,,
2018-09-03,할매순대,순대해장라면,6000,TRUE,
2018-09-04,순흥골,순두부,5000,TRUE,
2018-09-05,놀부,부대찌개세트,10000,TRUE,
2018-09-06,잔쯔,탕수육정식,7000,TRUE,
2018-09-07,시루향기,콩나물국밥,6500,TRUE,
2018-09-08,,,,,
2018-09-09,,,,,
2018-09-10,태양생고기,돼지불백,6000,TRUE,
2018-09-11,요리수리,백반,6000,TRUE,
2018-09-12,육부장,소불고기,7000,TRUE,
2018-09-13,할매순대,순대해장라면,6000,TRUE,
2018-09-14,버기킹,새우스테이크버거세트,9700,TRUE,
2018-09-15,,,,,
2018-09-16,,,,,
2018-09-17,잔쯔,깐쇼새우정식,7000,TRUE,
2018-09-18,,,,,출장
2018-09-19,스시진,연어회덮밥,8000,TRUE,
2018-09-20,청원,간자장+공기밥,7000,TRUE,
2018-09-21,한탄강매운탕,어탕,8000,TRUE,
2018-09-22,,,,,
2018-09-23,,,,,
2018-09-24,,,,,추석
2018-09-25,,,,,추석
2018-09-26,,,,,대체휴무
2018-09-27,,,,,대체휴무
2018-09-28,,,,,휴무
2018-09-29,,,,,
2018-09-30,,,,,
2018-10-01,잔쯔,깐쇼새우정식,7000,TRUE,
2018-10-02,요리수리,백반,6000,TRUE,
2018-10-03,왕가네칼국수,바지락칼국수,6000,FALSE,
2018-10-04,순흥골,뚝배기비빔밥,6000,TRUE,
2018-10-05,해오름,부대찌개,6000,TRUE,
2018-10-06,,,,,
2018-10-07,,,,,
2018-10-08,,,,,휴가
2018-10-09,,,,,한글날
2018-10-10,월남선생,해물볶음밥,5900,TRUE,
2018-10-11,오마니국수,오마니국수+김밥,6500,TRUE,
2018-10-12,편의점,도시락,5000,TRUE,
2018-10-13,,,,,
2018-10-14,,,,,
2018-10-15,잔즈,깐쇼새우정식,7000,TRUE,
2018-10-16,요리수리,백반,6000,TRUE,
2018-10-17,스시진,돈카츠카레덮밥,8500,TRUE,
2018-10-18,청원,우동+공기밥,7000,TRUE,
2018-10-19,,,,,휴가
2018-10-20,,,,,
2018-10-21,,,,,
2018-10-22,스시진,회덮밥,8000,TRUE,
2018-10-23,해오름,부대찌개,6000,FALSE,
2018-10-24,월남선생,해물볶음밥,5900,TRUE,
2018-10-25,순흥골 ,우거지해장국,6000,TRUE,
2018-10-26,,,,,문화의날
2018-10-27,,,,,
2018-10-28,,,,,
2018-10-29,편의점,도시락,5000,TRUE,
2018-10-30,할매순대,순대해장라면,6000,TRUE,
2018-10-31,청원,간짜장곱배기,7000,TRUE,
2018-11-01,편의점,도시락+라면+빵,8100,TRUE,
2018-11-02,태양생고기,우렁쌈밥제육,7000,TRUE,
2018-11-03,,,,,
2018-11-04,,,,,
2018-11-05,순흥골,순두부,5000,TRUE,
2018-11-06,편의점,도시락+라면,6800,TRUE,
2018-11-07,잔쯔,탕수육정식,7000,TRUE,
2018-11-08,해오름,부대찌개,6000,FALSE,
2018-11-09,,,,,휴가
2018-11-10,,,,,
2018-11-11,,,,,
2018-11-12,잔쯔,탕수육정식,7000,TRUE,
2018-11-13,낙곱새,낙곱,8000,TRUE,
2018-11-14,할매순대,순대해장라면,6000,TRUE,
2018-11-15,육부장,소불고기,7000,TRUE,
2018-11-16,월남선생,나가사키살국수,6500,TRUE,
2018-11-17,,,,,
2018-11-18,,,,,
2018-11-19,청원,간짜장,6500,FALSE,
2018-11-20,스시진,부타동,8000,TRUE,
2018-11-21,청원,송이덮밥,8500,FALSE,
2018-11-22,편의점,도시락+라면,5000,TRUE,
2018-11-23,순흥골,매생이떡국,6000,TRUE,
2018-11-24,,,,,
2018-11-25,,,,,
2018-11-26,낙곱새,낙곱,8000,TRUE,
2018-11-27,돈푸대,런치,7000,TRUE,
2018-11-28,센다이참치,알탕,9000,TRUE,
2018-11-29,편의점,도시락+라면,5500,TRUE,
2018-11-30,,,,,문화의날
2018-12-01,,,,,
2018-12-02,,,,,
2018-12-03,해오름,부대찌개,6000,TRUE,
2018-12-04,잔쯔,탕수육정식,7000,TRUE,
2018-12-05,수시진,돈까스카레덮밥,8500,TRUE,
2018-12-06,당산떡볶이,라볶이+참치치즈김밥,8500,TRUE,
2018-12-07,,,,,휴가
2018-12-08,,,,,
2018-12-09,,,,,
2018-12-10,굴림만두,굴림만두,4000,TRUE,
2018-12-11,스시진,멍게비빔밥,8000,TRUE,
2018-12-12,,,,,치과
2018-12-13,해오름,부대찌개,6000,TRUE,
2018-12-14,,,,,출장
2018-12-15,,,,,
2018-12-16,,,,,
2018-12-17,순흥골,김치전골,6000,TRUE,
2018-12-18,본죽,쇠고기야채죽,9000,TRUE,
2018-12-19,태양생고기,징기스칸,6000,FALSE,
2018-12-20,피씨방,떡라면,3000,TRUE,
2018-12-21,할매순대,뼈해장국,7000,TRUE,
2018-12-22,,,,,
2018-12-23,,,,,
2018-12-24,청원,간짜장+공기밥,7000,TRUE,
2018-12-25,,,,,성탄절
2018-12-26,잔쯔,탕수육정식,7000,TRUE,
2018-12-27,육부장,김치찌개,7000,FALSE,
2018-12-28,,,,,문화의날
2018-12-29,,,,,
2018-12-30,,,,,
2018-12-31,,,,,휴무
